distance_km,hour_of_day,is_rush_hour,is_raining,final_price
188.52,22,0,0,3435.51
475.46,3,0,0,8734.21
366.53,17,1,0,8861.89
300.13,4,0,1,6515.41
79.7,15,0,0,1835.92
79.69,13,0,0,1703.42
30.93,18,1,0,918.8
433.36,13,0,0,7867.56
301.36,8,1,0,7229.2
354.62,5,0,0,6541.54
12.25,16,0,0,414.59
485.02,18,1,0,11694.42
416.56,11,0,0,7600.41
107.74,3,0,0,2145.68
92.55,15,0,0,1686.64
93.34,10,1,1,2813.5
153.51,21,0,0,2950.9
263.33,3,0,1,5937.03
217.11,16,0,0,3982.63
147.03,7,0,1,3311.81
306.7,13,0,0,5816.71
71.47,1,0,0,1552.61
147.49,10,1,0,3667.07
184.45,10,1,0,4287.42
229.12,23,0,0,4525.32
393.02,21,0,0,7222.32
101.44,23,0,0,1944.62
258.09,5,0,0,4743.36
297.02,20,1,0,7182.96
25.13,20,1,0,821.75
304.56,13,0,0,5727.09
86.92,9,1,0,2136.35
34.4,7,0,1,891.7
474.54,6,0,0,8894.86
482.88,7,0,0,8864.38
404.58,7,0,1,8901.72
153.7,22,0,0,2822.4
50.64,1,0,0,1112.13
342.75,15,0,1,7686.46
221.2,8,1,0,5458.44
62.78,12,0,0,1254.07
248.6,22,0,1,5585.84
19.13,11,0,1,760.28
454.84,21,0,0,8444.24
130.87,16,0,0,2427.29
331.94,1,0,0,5870.25
157.23,12,0,0,3009.86
260.99,0,0,0,4927.75
274.26,18,1,0,6503.8
94.06,10,1,1,2874.26
484.85,4,0,1,10626.46
388.02,0,0,0,7144.72
469.87,19,1,0,11135.5
447.62,12,0,0,8336.28
299.75,7,0,0,5560.37
461.09,5,0,0,8361.78
46.07,16,0,0,1070.99
99.6,11,0,0,1816.37
24.52,0,0,1,838.15
164.01,2,0,0,3201.37
195.56,13,0,0,3809.08
137.13,7,0,0,2602.55
414.71,10,1,0,9849.63
179.66,13,0,1,4069.13
141.91,7,0,0,2695.85
272.26,2,0,0,4985.45
72.18,6,0,0,1393.88
401.49,18,1,0,9553.32
39.13,3,0,1,908.13
493.47,15,0,0,9100.25
386.58,12,0,0,7103.17
100.96,19,1,0,2526.64
4.75,18,1,0,195.11
408.1,4,0,0,7379.76
354.01,22,0,0,6715.86
365.05,4,0,0,6658.09
386.09,19,1,1,11136.53
38.87,23,0,0,866.0
180.52,3,0,0,3121.77
59.7,1,0,1,1648.83
431.83,12,0,0,7991.27
312.4,15,0,0,5696.48
166.79,21,0,0,3149.33
33.65,1,0,0,640.82
